country,date,confirmed,recovered,deaths,confirmed.inc,deaths.inc,recovered.inc,rate.upper,rate.lower,rate.daily,rate.inc.daily,remaining.confirmed,fatality.rate.min,fatality.rate.max
Argentina,2020-01-22,0,0,0,NA,NA,NA,NaN,NaN,NA,NA,0,NaN,NaN
Argentina,2020-01-23,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-24,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-25,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-26,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-27,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-28,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-29,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-30,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-01-31,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-01,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-02,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-03,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-04,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-05,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-06,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-07,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-08,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-09,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-10,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-11,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-12,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-13,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-14,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-15,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-16,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-17,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-18,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-19,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-21,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-22,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-23,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-24,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-25,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-26,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-27,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-28,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-02-29,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-03-01,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-03-02,0,0,0,0,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN
Argentina,2020-03-03,1,0,0,1,0,0,NaN,0,NaN,Inf,1,0,0
Argentina,2020-03-04,1,0,0,0,0,0,NaN,0,NaN,0,1,0,0
Argentina,2020-03-05,1,0,0,0,0,0,NaN,0,NaN,0,1,0,0
Argentina,2020-03-06,2,0,0,1,0,0,NaN,0,NaN,1,2,0,0
Argentina,2020-03-07,8,0,0,6,0,0,NaN,0,NaN,3,8,0,0
Argentina,2020-03-08,12,0,1,4,1,0,100,8.3333,100,0.5,11,0.08333333333333333,0.1597222222222222
Argentina,2020-03-09,12,0,1,0,0,0,100,8.3333,NaN,0,11,0.08333333333333333,0.1597222222222222
Argentina,2020-03-10,17,0,1,5,0,0,100,5.8824,NaN,0.4167,16,0.058823529411764705,0.11418685121107267
Argentina,2020-03-11,19,0,1,2,0,0,100,5.2632,NaN,0.1176,18,0.05263157894736842,0.10249307479224376
Argentina,2020-03-12,19,0,1,0,0,0,100,5.2632,NaN,0,18,0.05263157894736842,0.10249307479224376
Argentina,2020-03-13,31,0,2,12,1,0,100,6.4516,100,0.6316,29,0.06451612903225806,0.12486992715920917
Argentina,2020-03-14,34,1,2,3,0,1,66.6667,5.8824,0,0.0968,31,0.058823529411764705,0.11245674740484428
Argentina,2020-03-15,45,1,2,11,0,0,66.6667,4.4444,NaN,0.3235,42,0.044444444444444446,0.08592592592592593
Argentina,2020-03-16,56,1,2,11,0,0,66.6667,3.5714,NaN,0.2444,53,0.03571428571428571,0.06951530612244898
Argentina,2020-03-17,68,3,2,12,0,2,40,2.9412,0,0.2143,63,0.029411764705882353,0.05666089965397924
Argentina,2020-03-18,79,3,2,11,0,0,40,2.5316,NaN,0.1618,74,0.02531645569620253,0.0490306040698606
Argentina,2020-03-19,97,3,3,18,1,0,50,3.0928,100,0.2278,91,0.030927835051546393,0.05994260814114147
Argentina,2020-03-20,128,3,3,31,0,0,50,2.3438,NaN,0.3196,122,0.0234375,0.0457763671875
